Year,Event,Age,Date,Summary
???????,Realm Tear,Age of the Gods,,"Realm Tear, not much is know when, why and how this happened."
1000 PRT,https://www.notion.so/a0ef5aa48bfa4146a32e31267545c1ac?pvs=21,Age of the Gods,,"The Planes as we know them have taken shape, magic and life started taking shape by the hands of the gods."
3000 PRT,Birth of the Titans,Age of the Titans,,"It is said that colossal primordial creatures existed and the worlds as their supreme dominators, these creatures are known as the Titans."
7000 PRT,Aezatan Dynasty Birth,Age of the Aezatans,,Birth of the Aezatan Dynasty
10000 PRT,Aezatan Dynasty Peak,Age of the Aezatans,,Peak of the Aezatan Dynasty
10070 PRT,"Destruction of Gaia (Gaia%2011275a22781a809dba88c61a74e1ad75.csv) ",Age of the Aezatans,,"At the Peak of the Aezatan Dynasty, when the Gods decided that the Aezatan people were becoming too dangerous and reckless. According to Adam, Vermillion Emperor (Adam,%20Vermillion%20Emperor%201fea2934606a4cfba108aef2a65405f9.csv), Graav (God of Death) (Graav%20(God%20of%20Death)%20d63b83eee74f4e1c9db355255ee1a0a0.csv), manifested his physical avatar in close proxity to the Aezatan home planet Gaia (Gaia%2011275a22781a809dba88c61a74e1ad75.csv) and drained most of the lifeforce and mana from it, leaving a shattered world wiping out at least half of the Aezatan population with one blow.  This is believed to what really caused the Aezatan people to go on an all out war against the gods."
10100 PRT,The Titan War,Age of the Aezatans,,"A War that Involved the Aezatan Dynasty, the Twelve and the Titans"
11501 - 13000 PRT,,Age of Silence,,"Known as the Age of Silence, there is no recorded history from this time, the new races started to flourish after the death of the Aezatan (Aezatan%203da707b77610408784cd1bdfc44fe23f.csv) people."
1 NA,,New Age,,"First record of Arbiters, Pandemoniums, Fiends and Celestials"
388 NA,,New Age,,"The first of the mortal race communities start to flourish. Writing, Magic and Languages are common enough to have some written history."
900 NA,,New Age,,All 3 worlds in the prime have made contact as they learnt how to harness and control the magic in the large portals found in the worlds.
1233 NA,"The Vermillion Crusade (The%20Vermillion%20Crusade%206323992b84d7430a9e36ec2e66c69e7a.csv) ",New Age,,The Church of the Twelve (Church%20of%20the%20Twelve%20a51ac19679214ca0b7344cddc3961507.csv) was known to launch a crusade against a powerful Draconian (Draconian%20ad50140d703041b7ac34b0776a1f9722.csv).
